"version(0:baseline, 1:our method)",seq_len,feature_len,total time(µ¥Î»:ns),get q k v,get k^T,p = q * k^T,s = softmax(p),o = s * v,out = o *wo
0,32,32,104325,23948,9925,12206,33493,12262,12329
0,32,64,136356,41084,9924,14867,37969,14097,18228
0,32,128,146826,55179,9280,17013,30371,12375,22461
0,32,256,221360.9844,94951,13287,25815,37345,13287,36438
0,32,512,341191,171936.5156,13839,40157,40231,12701,62164
0,32,1024,573336,328791.1875,12379,70397,33956,12563,115090
0,32,2048,1895015.875,1249821.625,16086,132900,57151,16311,422571.375
0,64,32,99673,20205,9175,12453,34343,12621,10713
0,64,64,127308,35420,9387,16050,34328,15944,16013
0,64,128,159210,54857,9422,22292,34161,15810,22498
0,64,256,224975.0156,94092,10283,34698,34415,15877,35449
0,64,512,353870.0313,171871.5469,10946,59612,34139,15832,61315
0,64,1024,1019991,627874.8125,12009,109808,34676,22324,213139.6875
0,64,2048,1950176,1246258.375,14527,209987.1094,34935,22304,422004.9375
0,128,32,124679,20623,9385,12624,54689,16319,10853
0,128,64,154086,35733,9909,16047,54030,22147,16072
0,128,128,188198,55591,10303,22645,54315,22597,22580
0,128,256,253852.9844,94553,11150,35520,54282,22569,35594
0,128,512,597128,323095.5313,12078,60289,54793,35056,111659
0,128,1024,1059954,629652.375,14616,110293,56051,35292,213875.8281
0,128,2048,1999800.125,1250102.25,19145,210567.4844,63826,35309,420676.875
0,256,32,212155.0156,20960,9547,19415,127240,23739,11073
0,256,64,252924,35292,10639,29110,127192,34722,15807
0,256,128,375924,92950,11694,48352,127998,59686,35076
0,256,256,650261,248832.1563,12391,87113,127595,87063,87087
0,256,512,1259783,629646.1875,14764,161713.9531,127322,112288,213877.0156
0,256,1024,2233267,1242234.375,19381,310933.7813,130574,112279,417696.4375
0,256,2048,4192277,2481693.75,27703,609168.5625,130145,112343,831036.4375
0,512,32,588092.0625,20680,10474,43130,465218.25,37458,10969
0,512,64,670843,34786,10834,74832,474531.7188,59723,15977
0,512,128,1201780,93935,14235,138927.0156,808227.6875,110472,35766
0,512,256,2293845,406906.3438,19781,269507.7813,1188709.25,266721.9063,142038.0313
0,512,512,4084465,1553457.125,24272,524790.8125,935649,522187.2188,523911.5938
0,512,1024,6136652,3075007.75,27788,1017512.25,464700.875,522267.6875,1029196.188
0,512,2048,11291172,6152029,44075,2010097.5,508143.5938,520178.3125,2056467.875
0,1024,32,2488731,20566,11338,136697.8906,2240964.25,66437,12545
0,1024,64,4018993,56550,14693,258317.5625,3446015.5,217154.1563,26078
0,1024,128,4349000,176433.9844,16740,498659.7813,3178579,414020.2188,64373
0,1024,256,4325899,424938.5625,20335,984239.4375,2226380,525239.4375,144604.0156
0,1024,512,7467267,1556534.625,29316,1956854.875,2381782,1019640.063,522954.2813
0,1024,1024,26304246,11709324,48550,3910541.5,2829915.25,3903579,3902166
0,1024,2048,46197176,23429880,86836,7819887.5,3142705.5,3905462,7812398.5
1,32,32,103777,26096,10344,13803,25911,13816,13525
1,32,64,106135,33159,9164,13468,20214,14718,15261
1,32,128,149002,44404,12132,16434,38516,16965,20362
1,32,256,146374,57790,9409,20003,20358,15565,23079
1,32,512,213626,86364,12606,29934,34567,16892,33090
1,32,1024,284852,140545.8906,10348,45309,21899,15991,50571
1,32,2048,486677,265202.4375,11106,81086,20429,15965,92712
1,64,32,97126,24524,9327,14586,22461,13918,12141
1,64,64,111121,33622,9270,15336,22277,15395,15048
1,64,128,128676,43847,9493,17396,22492,16663,18607
1,64,256,151352.9844,57504,10292,21566,22260,16558,23013
1,64,512,199783.0156,85877,10965,30604,22478,16948,32747
1,64,1024,291505.9688,140574.875,12193,48181,22510,17115,50758
1,64,2048,497095,266240.25,14768,83323,22648,16970,92976
1,128,32,114370,23967,9291,15330,37447,16031,12134
1,128,64,130641,33530,9760,16542,37683,17804,15132
1,128,128,147471.0156,43750,10171,18769,37126,18885,18619
1,128,256,173196.9844,58189,11149,23239,37957,19046,23453
1,128,512,219884,85743,12139,32020,37760,19257,32773
1,128,1024,312911,140599.8438,14742,49833,37585,19275,50712
1,128,2048,522091,267808.2188,18997,84801,38211,19091,93014
1,256,32,176116,25248,9414,15850,92123,20615,12675
1,256,64,195012,34524,10627,17076,94351,22537,15707
1,256,128,210738,44872,11666,19245,92023,23669,19092
1,256,256,236156.9844,58941,12355,23586,93520,23825,23752
1,256,512,282449.9688,85978,14951,32425,92304,23813,32805
1,256,1024,379963,141053.7031,19453,50245,94423,23817,50819
1,256,2048,591648,268133.1563,27438,85727,93884,23859,92452
1,512,32,400504,25136,10493,15878,306248.0938,30248,12331
1,512,64,416134.0313,35126,10819,17062,305442.125,31619,15897
1,512,128,435137.9688,44810,13129,19244,305864.0938,32785,19136
1,512,256,495827,72110,17658,28294,309551.9375,39732,28284
1,512,512,539477,98535,22170,36724,307590.9063,37196,37111
1,512,1024,615218,142171.75,28127,51089,308968.9375,33374,51295
1,512,2048,834850,267759.3125,43427,93741,305386.6875,33277,91090
1,1024,32,1186326,25635,11416,16178,1071643.375,48823,12455
1,1024,64,1223442,40603,14028,19735,1069638.125,61237,18046
1,1024,128,1260010,54573,17569,23036,1077275.25,64859,22540
1,1024,256,1276841,68162,22854,27235,1072346.125,59126,26959
1,1024,512,1392838,104539,34469,39656,1112636.875,62178,39169
1,1024,1024,2890361,185178.4219,56721,65114,2445539.25,70627,67005
1,1024,2048,2743607,319638.3125,98499,110791,2030935.25,67171,116377
